error,anomaly
100.56608,False
100.56608,False
100.56608,False
100.56608,False
100.56608,False
100.56608,False
91.466064,False
91.46608,False
91.46608,False
83.06606,False
73.16606,False
64.06594,False
64.06514,False
54.45913,False
45.31556,False
35.131268,False
34.55854,False
24.611069,False
14.393727,False
13.48996,False
13.723269,False
13.50018,False
4.7237716,False
88.45604,False
91.052704,False
91.0,False
95.868225,False
95.97453,False
100.844734,False
99.88049,False
100.05954,False
100.01152,False
99.83382,False
15.006061,False
59.60385,False
63.339203,False
59.007378,False
59.63134,False
59.250313,False
149.1536,False
149.17758,False
245.33833,False
245.16599,False
250.50151,False
204.91702,False
201.57431,False
201.58195,False
201.66068,False
197.67427,False
108.0767,False
109.58463,False
12.014784,False
13.885164,False
8.909179,False
5.2218795,False
100.94232,False
100.762375,False
100.736664,False
102.51151,False
104.40525,False
108.83531,False
109.00177,False
110.84412,False
111.97966,False
113.106285,False
16.053768,False
19.941502,False
20.24679,False
19.64317,False
16.145966,False
11.35203,False
12.013918,False
8.651787,False
7.627074,False
103.8511,False
107.23558,False
106.88102,False
107.85836,False
107.77024,False
108.11815,False
109.31987,False
109.83281,False
109.635864,False
111.83461,False
14.645737,False
11.064535,False
102.073135,False
104.767624,False
108.732864,False
112.017555,False
110.344604,False
110.87932,False
112.545975,False
111.88977,False
152.03596,False
193.33511,False
136.04837,False
172.48347,False
207.49655,False
247.73929,False
287.93048,False
330.43393,False
368.8681,False
409.32657,False
409.32657,False
409.3267,False
409.32755,False
413.4339,False
413.4752,False
409.33374,False
413.47427,False
413.42657,False
413.42657,False
421.82672,False
444.3277,True
452.73383,True
412.87427,False
417.12762,False
430.03482,True
457.68198,True
423.57675,True
437.04584,True
445.55746,True
407.26074,False
346.08746,False
306.83835,False
317.748,False
279.40323,False
274.94464,False
216.67862,False
210.91919,False
154.03235,False
105.42293,False
95.28019,False
161.56781,False
153.17789,False
143.65176,False
139.03323,False
93.629135,False
83.81584,False
182.46591,False
182.42033,False
182.94962,False
183.97745,False
115.4188,False
113.858376,False
115.28914,False
111.93846,False
108.73488,False
109.65633,False
6.770598,False
5.9498205,False
4.9126463,False
4.9508514,False
4.8911924,False
67.52757,False
70.81234,False
74.01122,False
73.97412,False
74.84177,False
77.35875,False
78.91031,False
79.83883,False
80.141335,False
81.95556,False
22.192486,False
22.15786,False
20.62931,False
20.69644,False
21.523886,False
18.719667,False
21.959988,False
21.882088,False
21.999838,False
26.14859,False
24.185379,False
24.110813,False
20.43394,False
20.225481,False
18.602232,False
17.961246,False
14.449277,False
13.813438,False
14.175494,False
9.548079,False
8.147849,False
6.5609217,False
68.95508,False
68.917244,False
131.48422,False
136.41025,False
136.29602,False
136.6728,False
137.10335,False
140.22641,False
144.17435,False
141.41649,False
82.745575,False
87.35271,False
24.371758,False
81.82108,False
81.77006,False
82.45058,False
82.337166,False
114.806984,False
115.91056,False
116.18821,False
111.23169,False
112.48568,False
113.03119,False
54.42901,False
52.823486,False
51.19707,False
55.461353,False
18.833382,False
13.565198,False
13.657164,False
14.046579,False
52.95634,False
97.340454,False
104.211624,False
123.84801,False
140.98468,False
149.15773,False
161.20285,False
178.08917,False
192.62718,False
205.57137,False
173.50218,False
141.04568,False
141.1796,False
141.11778,False
138.52422,False
143.3375,False
148.22469,False
145.66982,False
145.62218,False
145.62253,False
150.42526,False
150.445,False
150.57462,False
174.98639,False
204.73311,False
231.92583,False
259.0774,False
288.7719,False
314.33682,False
342.31915,False
369.4337,False
401.5057,False
433.9826,True
433.98257,True
429.88242,True
425.78143,True
421.6744,False
421.6277,False
421.63486,False
425.78256,True
421.68243,False
421.68146,False
417.57428,False
413.42667,False
413.42755,False
421.8339,False
430.2753,True
434.53394,True
442.97525,True
447.2338,True
419.37418,False
375.62668,False
345.62863,False
354.04315,False
324.1384,False
285.73816,False
247.33652,False
208.9246,False
208.83792,False
169.85782,False
167.39648,False
177.45244,False
177.93832,False
138.9663,False
138.96768,False
138.97795,False
139.05244,False
139.5383,False
100.56608,False
94.16606,False
98.56608,False
92.16606,False
82.266075,False
72.366066,False
62.466015,False
53.365562,False
43.76229,False
34.63855,False
120.58452,False
226.12268,False
213.00034,False
209.26216,False
210.76407,False
210.77812,False
215.67102,False
215.15796,False
216.60518,False
217.1257,False
122.50974,False
15.807981,False
18.984264,False
19.111027,False
17.506397,False
22.557919,False
17.429653,False
18.694254,False
18.493786,False
18.646572,False
17.241592,False
13.734372,False
10.0723505,False
15.0044985,False
20.04411,False
14.938551,False
20.025208,False
19.295527,False
17.498312,False
17.455969,False
22.294827,False
23.35413,False
22.791971,False
